stage,estimate,se,z,nsim
2,0.6628537101715217,0.19240236024898127,3.4451433408288006,32
3,0.8458261770503536,0.16445159526154796,5.143313907688948,32
4,0.8351480363461359,0.14486761995628297,5.76490479099581,32
5,0.7694735144267952,0.13084802767258152,5.88066574723032,32
1,0.4899153540636202,0.2982499077106168,1.6426337155449207,33
2,0.7632256644469321,0.19706614364930028,3.8729415936873033,33
3,0.8516560147824913,0.16282728847052524,5.230425580271557,33
4,0.8187738455301975,0.1449839523508876,5.647341186758487,33
5,0.7694735144267952,0.13084802767258152,5.88066574723032,33
1,0.7457508586779674,0.292134290170732,2.552767284669418,34
2,0.8520278501870038,0.20469421114706451,4.162442334897571,34
3,0.576168076770238,0.16886459807154958,3.4120122473871635,34
4,0.676366068134428,0.14487144409118308,4.668732836739852,34
5,0.7694735144267952,0.13084802767258152,5.88066574723032,34
1,1.2842134168789645,0.2722753215952146,4.716598659602998,35
2,0.9219833963771157,0.20212716590514507,4.561402680576777,35
3,0.7968712680329499,0.1689074917016347,4.717797061604449,35
4,0.7553216593386125,0.14374021734180975,5.2547691474716585,35
5,0.7694735144267952,0.13084802767258152,5.88066574723032,35
1,0.2785034719437437,0.2853817474730995,0.9758979836998715,36
2,0.6195415035113011,0.2088062704158196,2.96706369151433,36
3,0.7994737825921474,0.17353712565623786,4.606932260569051,36
4,0.65106693329186,0.14907424668253488,4.36740045836594,36
5,0.7694735144267952,0.13084802767258152,5.88066574723032,36
1,0.7506288452581724,0.3048774996076406,2.46206704733602,37
2,0.5160090888692725,0.20752761342683282,2.4864598997145015,37
3,0.6962678421125341,0.16688371611245262,4.17217364481123,37
4,0.779329113473406,0.14603783317756835,5.336487788926687,37
5,0.7694735144267952,0.13084802767258152,5.88066574723032,37
1,0.9797124513429266,0.2799266852164828,3.499889446357216,38
2,0.8228794876956292,0.19417793607284659,4.237759986216575,38
3,0.8506985097758683,0.161915542304748,5.253964490788247,38
4,0.8291193144154654,0.14179771371423894,5.84719804500069,38
5,0.7694735144267952,0.13084802767258152,5.88066574723032,38
1,1.0172728036242777,0.26616896148037766,3.8219061981021873,39
2,0.8700386193095693,0.1955583153961321,4.448998333551699,39
3,0.7533180396608318,0.16572565207014603,4.545572940886531,39
4,0.6356087782177253,0.14669154565928094,4.3329612170973215,39
5,0.7694735144267952,0.13084802767258152,5.88066574723032,39
1,0.850935849660448,0.2539499979775622,3.3508007735272067,40
2,0.7677503792518836,0.19849484265060527,3.8678605902285015,40
3,0.6010599135840192,0.1720808123158597,3.492893283655327,40
4,0.8534399616998922,0.14666604456682117,5.818933511301345,40
5,0.7694735144267952,0.13084802767258152,5.88066574723032,40
1,0.025971142583457174,0.31964645700115213,0.08124958689394628,41
2,0.35095922736762386,0.21758189987660828,1.6129982667062586,41
3,0.5095191664198783,0.17590744724085983,2.8965184499677457,41
4,0.6979754173571295,0.15053831876818216,4.636529908587327,41
5,0.7694735144267952,0.13084802767258152,5.88066574723032,41
1,0.6287234613119398,0.2840987676791039,2.2130453660471257,42
2,0.39753997046900347,0.20521572659906084,1.9371808245753752,42
3,0.8679197524476396,0.16439251943950156,5.279557460441773,42
4,0.8917710690372715,0.14225346885319234,6.268888036449869,42
