z,stage,nsim
5.336487762543852,4,37
5.88066574488064,5,37
3.499889446357216,1,38
4.237759986216575,2,38
5.253964490788247,3,38
5.84719804500069,4,38
5.88066574723032,5,38
3.8219061980863858,1,39
4.448998366407869,2,39
4.545572951570395,3,39
4.332961166479302,4,39
5.88066574488064,5,39
3.3508007754606655,1,40
3.8678605090781653,2,40
3.492893262401611,3,40
5.818933532697108,4,40
5.88066574488064,5,40
0.08124958689394628,1,41
1.6129982667062586,2,41
2.8965184499677457,3,41
4.636529908587327,4,41
5.88066574723032,5,41
2.2130453660471257,1,42
1.9371808245753752,2,42
5.279557460441773,3,42
6.268888046582304,4,42
5.88066574723032,5,42
3.6894091997698273,1,43
3.3717889469082993,2,43
5.5518328780093045,3,43
5.215548281929893,4,43
5.88066574488064,5,43
3.994590623850885,1,44
4.159327363526997,2,44
4.56426612541373,3,44
5.4507175700222446,4,44
5.88066574488064,5,44
3.643176092195516,1,45
5.397463826319133,2,45
4.83911601697934,3,45
6.131624716378438,4,45
5.88066574723032,5,45
0.7182285530130715,1,46
3.073738386092573,2,46
4.192711607936246,3,46
5.000682221252185,4,46
5.88066574488064,5,46
1.9603113552212783,1,47
4.226487716268271,2,47
4.218850088930864,3,47
5.559444141227627,4,47
5.88066574488064,5,47
3.0147914250953174,1,48
3.898125137037777,2,48
4.79013020685863,3,48
5.52742587004009,4,48
5.88066574488064,5,48
0.5010476533775461,1,49
2.8508704708567576,2,49
3.1201558669485605,3,49
4.3536863219164665,4,49
5.88066574723032,5,49
5.180887394945328,1,50
4.051193617305701,2,50
4.328827792110324,3,50
5.159071633607983,4,50
5.88066574488064,5,50
2.5852570407175315,1,51
2.7626562443203855,2,51
3.5261887050598926,3,51
5.11677332844063,4,51
5.88066574723032,5,51
3.074642202165562,1,52
2.3905492137529825,2,52
3.13490802436699,3,52
4.12741582658481,4,52
5.88066574723032,5,52
2.9808687758301713,1,53
2.0763829250417327,2,53
3.064659468789705,3,53
5.7653062628888225,4,53
5.88066574723032,5,53
3.908406072182725,1,54
5.8200911921832335,2,54
6.027057366792895,3,54
5.168680633200039,4,54
